id,year,month,official_id,title,company,director,result,province,type,summary,source,,
2020-12-1,2020,12,影剧备字〔2021〕第790号,我的青春记忆,安徽省傅氏兄弟文化传播有限公司,傅琳,同意拍摄,安徽省,故事影片,"1934年11月，红25军离开大别山，根据地又陷入白色恐怖中。妇女排杀恶霸、除叛徒，令敌人闻风丧胆。 西安事变后，妇女排下山,强压复仇火，与国民党握手言和，编入新四军第四支队，踏上了共同抗日的征途。",http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-2,2020,12,影剧备字〔2021〕第733号,可期,安徽四月天影视文化传媒有限公司,张俊,同意拍摄,安徽省,故事影片,故事讲述了农村老人韩老七在突然之间失去老伴后所面临的生活中的种种问题，以及在面对余生时的心理状态和矛盾的抉择，最终战胜自我，突破自我，去寻找自己想要的生活。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-3,2020,12,影剧备字〔2021〕第753号,侠探白玉堂之诡情谜案,"安徽子昂影视文化传播有限责任公司
浙江省永康领优影视文化有限公司",王伟华,同意拍摄,安徽省,故事影片,朝廷与西夏的和议已过了十余年，百姓安居乐业。然而，一场发自朝庭内部的阴谋正在酝酿着。白玉堂被人利用，被逼逃亡。最终，白玉堂识破了敌人的阴谋，挽救了朝廷……,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-4,2020,12,影剧备字〔2021〕第754号,侠探白玉堂之诡银玄案,"安徽子昂影视文化传播有限责任公司
浙江省永康领优影视文化有限公司",王伟华,同意拍摄,安徽省,故事影片,开封城出现毒银子，触者即死，一时间人心惶惶。在查案中白玉堂遇到故人金亚兰。金亚兰的出现使案情峰回路转。皇帝封赏，金亚兰提出请求赐婚白玉堂。面对金亚兰疯狂的爱与雨墨默默的陪伴，不知白玉堂该作何选择……,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-5,2020,12,影剧备字〔2021〕第714号,朝云暮雨,北京橙信传媒有限公司,"	张国立",同意拍摄,北京市,故事影片,服刑30年后，老秦怀揣政府拆迁补偿的150万开始新生活。老秦年过半百，只想娶妻生子安稳度日，随着精灵古怪的24岁女孩常娟的闯入，他的人生被彻底改变了。老秦意识到“同为天涯沦落人”的常娟身上蕴藏着秘密。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-6,2020,12,影剧备字〔2021〕第715号,疯狂的大爷,北京嘉实幕为影视传媒有限公司,郝平,同意拍摄,北京市,故事影片,逐渐失去记忆的阿兹海默症老人倪大强为了不忘却曾经的爱人，而前往柬埔寨找寻回忆，在旅游过程中，又挽救了一对青年男女恋情的故事。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-7,2020,12,影剧备字〔2021〕第779号,"山里的灯火	",福建一嘉文化传播有限公司,刘少豪,同意拍摄,福建省,故事影片,大学毕业生尚听雨不顾家里的反对来到贫困山区小学支教。尚听雨下定决心开设音乐、美术、体育、自然等课程，加强孩子们的综合素质教育。孩子们学习成绩和素质得到了全面的提升，尚听雨也得到了家人的支持和理解。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-8,2020,12,影剧备字〔2021〕第729号,英雄扶志,"明日英雄影视文化（厦门）有限公司
上海电影(集团)电视剧制作有限公司",章文雅,同意拍摄,福建省,故事影片,影片通过一场停赛五年的校园足球挑战赛事突然再次启动而拉开帷幕。对这个赛事表露的各种人物心态，折射出一个家庭中三代人的信念之争，并以此隐喻和启迪全社会的家庭教育解决思路。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-9,2020,12,影剧备字〔2021〕第775号,击鼓长歌,"南影（厦门）文化集团有限公司
华侨大学新闻与传播学院","杨传婷
陈宇忻",同意拍摄,福建省,故事影片,大学里一位留学生为了传承爷爷传下来的鼓技，在学校鼓队社团里担任队长教学鼓技，在一次小意外中与另外一位同样是打鼓高手的同学相遇，他们以特别的相处方式经历了一段校园的爱情故事。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-10,2020,12,影剧备字〔2021〕第791号,白日梦烦恼,"厦门恒业影业有限公司
内蒙古恒业牧马人影视文化传播有限公司",高寒,同意拍摄,福建省,故事影片,人到中年的王华拉，失业外加出现家庭危机，一气之下决定离婚，却被迫拖延一周。谁知当天，他中了巨额彩票，为避免“见钱眼开”的老婆反悔、婚离不成，他决定瞒住中奖这事。有钱只能偷着花的憋屈，没人比他更清楚了。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-11,2020,12,影剧备字〔2021〕第730号,和平之尊,厦门兴舞唐文化传媒有限公司,张宁,同意拍摄,福建省,故事影片,影片从主人公失忆到找回记忆的过程，映射了现代人在当下迷惑于追求事业成功与当下幸福的“珍惜”的选择。而强调了人的成长必须所经历的担当与责任。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-12,2020,12,影剧备字〔2021〕第750号,零下十七度,星际空间（厦门）影视传媒有限公司,童抒伟,同意拍摄,福建省,故事影片,渔民任大军暗恋着快餐店的服务员阿娟，当他为急需用钱的阿娟四处筹钱时，意外被困在渔场的冰库里，被困后老任经历了各种艰难与痛苦，最终靠着对生的渴望坚持到了获救的一刻，从此老任对于生命的意义有了新的理解。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-13,2020,12,影剧备字〔2021〕第783号,台风来临,"游道道（泰宁）影视有限公司
福建映江红文化发展有限公司
福州中映天华文化传播有限公司",杨大兰,同意拍摄,福建省,故事影片,超级台风席卷海湾，海伯凭借几十年对台风的敏锐感知提前让村民转移。但海伯的孙子却因下海直播被困海岛。海伯上岸找到当年的船友们一同出海搜救孙子。上演了一场老人与海及父与子的人间真情。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-14,2020,12,影剧备字〔2021〕第748号,到陕北去,兰州光阴影视传媒有限公司,"彭长虹
袁兴荣",同意拍摄,甘肃省,故事影片,以红军长征途中攻克天险腊子口、哈达铺休整、党中央决策到陕北的史实为原型，讲述了红一军团一师宣传科长彭加伦，在哈达铺创作长征歌曲《到陕北去》，以优秀作品凝聚人心，鼓舞红军指战员士气的传奇人生。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-15,2020,12,影剧备字〔2021〕第811号,卡点两夜,庆阳汇恒盛视影视文化传媒有限公司,张驰,同意拍摄,甘肃省,故事影片,因夺妻之恨而冲动杀人的姜崇武，驾车来到高原鬼卡点，被警察拦住。二人度过了紧张微妙，亦敌亦友，诡异魔幻的两天两夜，直到姜崇武最后向警方投降。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-16,2020,12,影剧备字〔2021〕第708号,永远卡拉OK,丰顺泰和影视文化有限公司,冯韦宁,同意拍摄,广东省,故事影片,小镇青年陈灿豪热爱歌唱经典流行曲，一次意外他认识流行歌王，歌王被陈灿豪的真挚所感动，两人逐渐走近，陈灿在歌王的引导下最终达成梦想，歌王也在陈灿豪身上得到慰藉。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-17,2020,12,影剧备字〔2021〕第765号,茶山来信,丰顺泰和影视文化有限公司,冯韦宁,同意拍摄,广东省,故事影片,退休老头王添用自己的养老金在一个小县城承包了山头，想和他的好朋友们一起养老，最好把田园生活也推广出去。他聘请来自大城市的年轻人徐旭协助完成梦想。渐渐地，徐旭开始理解为何王添想让大家都来小县城生活……,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-18,2020,12,影剧备字〔2021〕第789号,花开会有时,广东艺视丽影文化传媒有限公司,胡晓,同意拍摄,广东省,故事影片,陈子龙梦想成为一名歌星，现实却让他成了一名老师，只因上课拍了调皮学生灵玲的肩膀，被家长状告到学校，以老师体罚学生，孩子恐惧害怕为由，要求赔礼道歉并开除老师。一气之下背上行囊踏上了去偏远山区支教的旅程。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-19,2020,12,影剧备字〔2021〕第728号,宝贝攻略,广东综逸传媒有限公司,郭莉,同意拍摄,广东省,故事影片,电影《宝贝攻略》讲述假钞犯罪头目批着伪善的面具，以孤儿作掩护进行黑市交易。过程中身为底层人物、同是孤儿出身的主角被卷入其中，从误入歧途到转变思想，协同公安挖出幕后黑老大，扬善除恶、匡扶正义的故事。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-20,2020,12,影剧备字〔2021〕第764号,没有颜色的关系,广州捕趣文化传播有限公司,冯兴盛,同意拍摄,广东省,故事影片,迷茫抑郁的25岁白领李文心遇上了绝望无力的39岁男书评家张景行，两人被各自身上的特质吸引，渐行渐近，陷入爱河，因此他们重新获得了力量，突破了各自的人生瓶颈，可因为选择不同，终归陌路。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-21,2020,12,影剧备字〔2021〕第766号,潮汕合伙人,广州市比格影业有限公司,陈杰鹏,同意拍摄,广东省,故事影片,夏志杰、林峰、洪忠三个性格迥异的潮汕年轻人，共同创立一个玉器品牌，在起起落落的创业过程中，三人经历心酸和磨难，最终实现理想，收获了自己想要的人生。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-22,2020,12,影剧备字〔2021〕第707号,愤怒的黑马,广州英兮影业有限公司,马泓彬,同意拍摄,广东省,故事影片,二十年前因打假球而被吊销了教练执照的老教练刘家虎决定复出，执教高中母校的篮球队黑马队，弥补当年的过错。他偶然认识了热爱篮球的热血少年马泰山，两人并肩作战，历经千辛万苦，最终带领学校球队拿下了冠军。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-23,2020,12,影剧备字〔2021〕第788号,如果爱不曾错过,华巨影业（广东）有限公司,尤春静,同意拍摄,广东省,故事影片,凌夏在一次同学聚会上得知自己前男友冰川已经离世多年而且多年以来冰川为她默默做的事情，她决定回到最初相遇的地方。找寻过往之旅中，她更深刻感受冰川的爱。也明白了错过就是遗憾，理解和宽容才能有未来。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-24,2020,12,影剧备字〔2021〕第773号,我的姐妹是网红之追梦花,"惠州市奇艺汇影视文化传媒有限公司
惠州市奇艺汇影视文化传媒有限公司",李晶莹,同意拍摄,广东省,故事影片,一对从出生便分开的双胞胎姐妹，二十年后分别是生活在城市和乡村的网络女主播。姐妹俩抱着不同的目的，最终殊途同归，利用互联网改变了一个乡村的未来。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-25,2020,12,影剧备字〔2021〕第762号,疯狂直播间,"深圳市风之花语文化传媒有限公司
北京非凡影画文化传媒有限公司",马艺华,同意拍摄,广东省,故事影片,因为新助理强子业务不熟练，导致直播人气王甜甜大佬努力维持的人设不断翻车，在外有新人夹击和内有助理帮倒忙的情况下，甜甜大佬直播间发生的一系列疯狂事情。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-26,2020,12,影剧备字〔2021〕第747号,站那，别跑,深圳市中汇影视文化传播股份有限公司,吴海鑫,同意拍摄,广东省,故事影片,这是一个落魄工厂里，一个留守的保卫干事，用滑稽的方法与残酷的现实作斗争、坚守在工厂最后一道防线的故事。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-27,2020,12,影剧备字〔2021〕第763号,来，看着我,喜宝影视文化产业（珠海）有限公司,蔡郁苇,同意拍摄,广东省,故事影片,郝文和丈夫梁克平都处在事业上升期。三岁的儿子动动被确诊为自闭症，郝文不得不放弃她的首席乐手梦想，成为全职妈妈，陪伴儿子走上艰难的治疗之路。儿子一天天在进步，郝文也得到了重回舞台的机会。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-28,2020,12,影剧备字〔2021〕第706号,首饰盒的秘密,中影（深圳）国际文化传媒有限公司,"王皓明
周愉栖",同意拍摄,广东省,故事影片,6岁的盒子一直跟着做珠宝设计师的单亲母亲在深圳生活。可原本幸福快乐的小日子却因母亲患上肝癌发生了改变。母亲用生命所剩下为数不多的时间竭尽所能为儿子铺好后路，儿子也迅速成长，完成了母亲对他的期望。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-29,2020,12,影剧备字〔2021〕第732号,美丽的风景留给未来的你,贵州山水画影视传媒有限公司,江柯,同意拍摄,贵州省,故事影片,2009年，为了圆自己的支教梦，他从大城市来到贵西县边远山区扎下根子；支教结束，原本可以远走高飞的他，选择继续留在深山任教，目的很简单——让更多孩子能走出大山。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-30,2020,12,影剧备字〔2021〕第800号,拳击台,"河北缔杰影视传媒有限公司
河北缔杰影视传媒有限公司",肖洪涛（笔名肖杰蓝）,同意拍摄,河北省,故事影片,讲述了来自太行腹地深山的武林小子叶辰和燕赵古城武术之乡拳击协会大叔陈泽凯在邯郸古城相遇，为了亲人为了弘扬中华武术在拳击台上共同演绎了一段拳击大赛激情征程的故事。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-31,2020,12,影剧备字〔2021〕第798号,宅门女人之危险关系,"河北捷翔影视文化传媒有限公司
北京帝影影业有限公司
河北捷翔影视文化传媒有限公司",李涛亮,同意拍摄,河北省,故事影片,1916年民国时期，河北定州宋家大宅门世代以生产定瓷名扬天下，宋怀死后本应宋德当家，可是当家作主的重任交由当年宋怀的大丫鬟李萍，宋德启程南上，大太太廖雪梅表面清心礼佛，实质上是一切矛盾的源头……,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
